"","fy","fund","agency","source","interfund_trans","from_fund","source_name","receipts","data_source","fund_name","agency_name","fund_cat","fund_cat_name.x","fund_ab","fund_ioc","fund_re","a_end","in_ff","fund_name_ab","fund_category","fund_cat_name.y","in_ff_rev","in_ff_exp","source_name_AWM","rev_type","rev_type_name","amnesty","local","type_assigned","med_option_recent","rev_type_new"
"3784",2022,"0170","511","2659",NA,"9999","ENERGY REBATES",374359.52,"rev_ioc_22.08.01","CDB SPECIAL PROJECTS","CAPITAL DEVELOPMENT BOARD",NA,NA,"0170","0170","0",NA,"1","CDB SPECIAL PROJECTS","I","State Trust Funds","1","1","ENERGY REBATES","78",".",NA,0,NA,0,"78"
"3785",2022,"0776","506","2660",NA,"9999","CONCESSION REVENUE-FOOD",17210.04,"rev_ioc_22.08.01","PRES LIBR & MUSEUM OPERATING","ABE LINCOLN PRES LIBRARY & MUS",NA,NA,"0776","0776","0",NA,"1","PRES LIBR & MUSEUM OPERATING","D","Special State Funds","1","1","CONCESSION REVENUE-FOOD","36",".",NA,0,NA,0,"36"
"3786",2021,"0776","506","2661",NA,NA,"CONCESSION REVENUE-NON-FOOD",9786.01,NA,"PRES LIBR & MUSEUM OPERATING","ABE LINCOLN PRES LIBRARY & MUS","D","SPECIAL STATE FUNDS","0776","0776","0",NA,"1","PRES LIBR & MUSEUM OPERATING","D","Special State Funds","1","1","CONCESSION REVENUE-NON-FOOD","36",".",NA,0,NA,0,"36"
"3787",2022,"0776","506","2661",NA,"9999","CONCESSION REVENUE-NON-FOOD",182302,"rev_ioc_22.08.01","PRES LIBR & MUSEUM OPERATING","ABE LINCOLN PRES LIBRARY & MUS",NA,NA,"0776","0776","0",NA,"1","PRES LIBR & MUSEUM OPERATING","D","Special State Funds","1","1","CONCESSION REVENUE-NON-FOOD","36",".",NA,0,NA,0,"36"
"3788",2021,"0185","350","2663",NA,NA,"STL CARDINALS LICENSE PLATES",19956,NA,"SECRETARY OF STATE SPEC LIC PL","SECRETARY OF STATE","D","SPECIAL STATE FUNDS","0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","STL CARDINALS LICENSE PLATES","42",".",NA,0,NA,0,"42"
"3789",2021,"0587","350","2663",NA,NA,"STL CARDINALS LICENSE PLATES",95075,NA,"PROF SPORTS TEAM EDUCATION","SECRETARY OF STATE","D","SPECIAL STATE FUNDS","0587","0587","0",NA,"1","PROF SPORTS TEAM EDUCATION","D","Special State Funds","1","1","STL CARDINALS LICENSE PLATES","42",".",NA,0,NA,0,"42"
"3790",2022,"0185","350","2663",NA,"9999","STL CARDINALS LICENSE PLATES",17569,"rev_ioc_22.08.01","SECRETARY OF STATE SPEC LIC PL","SECRETARY OF STATE",NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","STL CARDINALS LICENSE PLATES","42",".",NA,0,NA,0,"42"
"3791",2022,"0587","350","2663",NA,"9999","STL CARDINALS LICENSE PLATES",101150,"rev_ioc_22.08.01","PROF SPORTS TEAM EDUCATION","SECRETARY OF STATE",NA,NA,"0587","0587","0",NA,"1","PROF SPORTS TEAM EDUCATION","D","Special State Funds","1","1","STL CARDINALS LICENSE PLATES","42",".",NA,0,NA,0,"42"
"3792",2021,"0642","444","2664",NA,NA,"PARKER DOAN CHARITABLE TRUST",53701.6,NA,"DHS STATE PROJECTS","HUMAN SERVICES","I","STATE TRUST FUNDS","0642","0642","0",NA,"1","DHS STATE PROJECTS","I","State Trust Funds","1","1","PARKER DOAN CHARITABLE TRUST","54",".",NA,0,NA,0,"54"
"3793",2022,"0642","444","2664",NA,"9999","PARKER DOAN CHARITABLE TRUST",64882.6,"rev_ioc_22.08.01","DHS STATE PROJECTS","HUMAN SERVICES",NA,NA,"0642","0642","0",NA,"1","DHS STATE PROJECTS","I","State Trust Funds","1","1","PARKER DOAN CHARITABLE TRUST","54",".",NA,0,NA,0,"54"
"3794",2021,"0862","406","2665",NA,NA,"INDUSTRIAL HEMP",266050,NA,"INDUSTRIAL HEMP REGULATORY","AGRICULTURE","D","SPECIAL STATE FUNDS","0862","0862","0",NA,"1","INDUSTRIAL HEMP REGULATORY","D","Special State Funds","1","1","INDUSTRIAL HEMP","39",".",NA,0,NA,0,"39"
"3795",2022,"0862","406","2665",NA,"9999","INDUSTRIAL HEMP",224950,"rev_ioc_22.08.01","INDUSTRIAL HEMP REGULATORY","AGRICULTURE",NA,NA,"0862","0862","0",NA,"1","INDUSTRIAL HEMP REGULATORY","D","Special State Funds","1","1","INDUSTRIAL HEMP","39",".",NA,0,NA,0,"39"
"3796",2021,"0774","532","2667",NA,NA,"OIL SPILL RESPONSE CST RECOVER",26099.04,NA,"OIL SPILL RESPONSE","ENVIRONMENTAL PROTECT AGENCY","I","STATE TRUST FUNDS","0774","0774","0",NA,"1","OIL SPILL RESPONSE","I","State Trust Funds","1","1","OIL SPILL RESPONSE CST RECOVER","39",".",NA,0,NA,0,"39"
"3797",2022,"0774","532","2667",NA,"9999","OIL SPILL RESPONSE CST RECOVER",24097.36,"rev_ioc_22.08.01","OIL SPILL RESPONSE","ENVIRONMENTAL PROTECT AGENCY",NA,NA,"0774","0774","0",NA,"1","OIL SPILL RESPONSE","I","State Trust Funds","1","1","OIL SPILL RESPONSE CST RECOVER","39",".",NA,0,NA,0,"39"
"3798",2021,"0011","370","2669",NA,NA,"MULTIMODAL TRANPORT BOND FUND",539127.08,NA,"ROAD","TREASURER","B","HIGHWAY FUNDS","0011","0011","0",NA,"1","ROAD","B","Highway Funds","1","1","MULTIMODAL TRANPORT BOND FUND","63",".",NA,0,NA,0,"78"
"3799",2022,"0011","370","2669",NA,"9999","MULTIMODAL TRANPORT BOND FUND",826380.68,"rev_ioc_22.08.01","ROAD","TREASURER",NA,NA,"0011","0011","0",NA,"1","ROAD","B","Highway Funds","1","1","MULTIMODAL TRANPORT BOND FUND","63",".",NA,0,NA,0,"78"
"3800",2021,"0011","350","2670",NA,NA,"FY20 TITLE INCREASES",138326814,NA,"ROAD","SECRETARY OF STATE","B","HIGHWAY FUNDS","0011","0011","0",NA,"1","ROAD","B","Highway Funds","1","1","FY20 TITLE INCREASES","39",".",NA,0,NA,0,"39"
"3801",2022,"0011","350","2670",NA,"9999","FY20 TITLE INCREASES",122321736,"rev_ioc_22.08.01","ROAD","SECRETARY OF STATE",NA,NA,"0011","0011","0",NA,"1","ROAD","B","Highway Funds","1","1","FY20 TITLE INCREASES","39",".",NA,0,NA,0,"39"
"3802",2021,"0011","350","2671",NA,NA,"FY20 TITLE INCRS-MOTRHM/CMPR",908455,NA,"ROAD","SECRETARY OF STATE","B","HIGHWAY FUNDS","0011","0011","0",NA,"1","ROAD","B","Highway Funds","1","1","FY20 TITLE INCRS-MOTRHM/CMPR","39",".",NA,0,NA,0,"39"
"3803",2022,"0011","350","2671",NA,"9999","FY20 TITLE INCRS-MOTRHM/CMPR",903185,"rev_ioc_22.08.01","ROAD","SECRETARY OF STATE",NA,NA,"0011","0011","0",NA,"1","ROAD","B","Highway Funds","1","1","FY20 TITLE INCRS-MOTRHM/CMPR","39",".",NA,0,NA,0,"39"
"3804",2021,"0011","350","2672",NA,NA,"FY20 REG INCR-MTR VEH 1DV&B CL",474966408,NA,"ROAD","SECRETARY OF STATE","B","HIGHWAY FUNDS","0011","0011","0",NA,"1","ROAD","B","Highway Funds","1","1","FY20 REG INCR-MTR VEH 1DV&B CL","39",".",NA,0,NA,0,"39"
"3805",2022,"0011","350","2672",NA,"9999","FY20 REG INCR-MTR VEH 1DV&B CL",437083381,"rev_ioc_22.08.01","ROAD","SECRETARY OF STATE",NA,NA,"0011","0011","0",NA,"1","ROAD","B","Highway Funds","1","1","FY20 REG INCR-MTR VEH 1DV&B CL","39",".",NA,0,NA,0,"39"
"3806",2021,"0483","350","2673",NA,NA,"FY20 REG & WT TAX INCR-SP SV F",10687436,NA,"SECRETARY OF STATE SPEC SERV","SECRETARY OF STATE","D","SPECIAL STATE FUNDS","0483","0483","0",NA,"1","SECRETARY OF STATE SPEC SERV","D","Special State Funds","1","1","FY20 REG & WT TAX INCR-SP SV F","39",".",NA,0,NA,0,"39"
"3807",2022,"0483","350","2673",NA,"9999","FY20 REG & WT TAX INCR-SP SV F",9572944,"rev_ioc_22.08.01","SECRETARY OF STATE SPEC SERV","SECRETARY OF STATE",NA,NA,"0483","0483","0",NA,"1","SECRETARY OF STATE SPEC SERV","D","Special State Funds","1","1","FY20 REG & WT TAX INCR-SP SV F","39",".",NA,0,NA,0,"39"
"3808",2021,"0011","350","2674",NA,NA,"FY20 REGISTRATION INCREASE",89764648,NA,"ROAD","SECRETARY OF STATE","B","HIGHWAY FUNDS","0011","0011","0",NA,"1","ROAD","B","Highway Funds","1","1","FY20 REGISTRATION INCREASE","39",".",NA,0,NA,0,"39"
"3809",2022,"0011","350","2674",NA,"9999","FY20 REGISTRATION INCREASE",63200264,"rev_ioc_22.08.01","ROAD","SECRETARY OF STATE",NA,NA,"0011","0011","0",NA,"1","ROAD","B","Highway Funds","1","1","FY20 REGISTRATION INCREASE","39",".",NA,0,NA,0,"39"
"3810",2021,"0011","350","2676",NA,NA,"FY20 SALVAGE CERTIFICATE INCRS",2085760,NA,"ROAD","SECRETARY OF STATE","B","HIGHWAY FUNDS","0011","0011","0",NA,"1","ROAD","B","Highway Funds","1","1","FY20 SALVAGE CERTIFICATE INCRS","39",".",NA,0,NA,0,"39"
"3811",2022,"0011","350","2676",NA,"9999","FY20 SALVAGE CERTIFICATE INCRS",2236928,"rev_ioc_22.08.01","ROAD","SECRETARY OF STATE",NA,NA,"0011","0011","0",NA,"1","ROAD","B","Highway Funds","1","1","FY20 SALVAGE CERTIFICATE INCRS","39",".",NA,0,NA,0,"39"
"3812",2021,"0972","565","2677",NA,NA,"GAMING POSITIONS",2.4e+07,NA,"REBUILD ILLINOIS PROJECTS","ILLINOIS GAMING BOARD","D","SPECIAL STATE FUNDS","0972-B","0972","1",NA,"1","REBUILD ILLINOIS PROJECTS","D","Special State Funds","1","1","GAMING POSITIONS","39",".",NA,0,NA,0,"39"
"3813",2022,"0972","565","2677",NA,"9999","GAMING POSITIONS",40010000,"rev_ioc_22.08.01","REBUILD ILLINOIS PROJECTS","ILLINOIS GAMING BOARD",NA,NA,"0972-B","0972","1",NA,"1","REBUILD ILLINOIS PROJECTS","D","Special State Funds","1","1","GAMING POSITIONS","39",".",NA,0,NA,0,"39"
"3814",2021,"0129","565","2678",NA,NA,"RB ORG GAMING LIC APP FEE",250000,NA,"STATE GAMING","ILLINOIS GAMING BOARD","D","SPECIAL STATE FUNDS","0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","RB ORG GAMING LIC APP FEE","39",".",NA,0,NA,0,"39"
"3815",2021,"0129","565","2679",NA,NA,"RB ORG GAMING LIC BCKGRND INV",50000,NA,"STATE GAMING","ILLINOIS GAMING BOARD","D","SPECIAL STATE FUNDS","0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","RB ORG GAMING LIC BCKGRND INV","39",".",NA,0,NA,0,"39"
"3816",2021,"0129","565","2681",NA,NA,"SW OCCUPATIONAL RENEWAL FEES",3e+05,NA,"STATE GAMING","ILLINOIS GAMING BOARD","D","SPECIAL STATE FUNDS","0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","SW OCCUPATIONAL RENEWAL FEES","39",".",NA,0,NA,0,"39"
"3817",2022,"0129","565","2681",NA,"9999","SW OCCUPATIONAL RENEWAL FEES",562250,"rev_ioc_22.08.01","STATE GAMING","ILLINOIS GAMING BOARD",NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","SW OCCUPATIONAL RENEWAL FEES","39",".",NA,0,NA,0,"39"
"3818",2022,"0129","565","2682",NA,"9999","SW BADGE REPLACEMENT FEES",10,"rev_ioc_22.08.01","STATE GAMING","ILLINOIS GAMING BOARD",NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","SW BADGE REPLACEMENT FEES","39",".",NA,0,NA,0,"39"
"3819",2021,"0329","478","2683",NA,NA,"MCO PROVIDER ASSESSMENT",247079004,NA,"COUNTY PROVIDER TRUST","HEALTHCARE & FAMILY SERVICES","D","SPECIAL STATE FUNDS","0329","0329","0",NA,"1","COUNTY PROVIDER TRUST","D","Special State Funds","1","1","MCO PROVIDER ASSESSMENT","31",".",NA,0,NA,0,"31"
"3820",2021,"0793","478","2683",NA,NA,"MCO PROVIDER ASSESSMENT",1057359145.84,NA,"HEALTHCARE PROVIDER RELIEF","HEALTHCARE & FAMILY SERVICES","D","SPECIAL STATE FUNDS","0793","0793","0",NA,"1","HEALTHCARE PROVIDER RELIEF","D","Special State Funds","1","1","MCO PROVIDER ASSESSMENT","31",".",NA,0,NA,0,"31"
"3821",2022,"0329","478","2683",NA,"9999","MCO PROVIDER ASSESSMENT",277913832,"rev_ioc_22.08.01","COUNTY PROVIDER TRUST","HEALTHCARE & FAMILY SERVICES",NA,NA,"0329","0329","0",NA,"1","COUNTY PROVIDER TRUST","D","Special State Funds","1","1","MCO PROVIDER ASSESSMENT","31",".",NA,0,NA,0,"31"
"3822",2022,"0793","478","2683",NA,"9999","MCO PROVIDER ASSESSMENT",1102963509,"rev_ioc_22.08.01","HEALTHCARE PROVIDER RELIEF","HEALTHCARE & FAMILY SERVICES",NA,NA,"0793","0793","0",NA,"1","HEALTHCARE PROVIDER RELIEF","D","Special State Funds","1","1","MCO PROVIDER ASSESSMENT","31",".",NA,0,NA,0,"31"
"3823",2021,"0898","406","2684",NA,NA,"CANNABIS BUSINESS DEVELOPMENT",5e+05,NA,"CANNABIS BUSINESS DEVELOPMENT","AGRICULTURE","D","SPECIAL STATE FUNDS","0898","0898","0",NA,"1","CANNABIS BUSINESS DEVELOPMENT","D","Special State Funds","1","1","CANNABIS BUSINESS DEVELOPMENT","39",".",NA,0,NA,0,"39"
"3824",2021,"0040","422","2685",NA,NA,"CONCESSION REVENUE",2692.8,NA,"STATE PARKS","NATURAL RESOURCES","D","SPECIAL STATE FUNDS","0040","0040","0",NA,"1","STATE PARKS","D","Special State Funds","1","1","CONCESSION REVENUE","36",".",NA,0,NA,0,"36"
"3825",2021,"0041","422","2685",NA,NA,"CONCESSION REVENUE",654,NA,"WILDLIFE & FISH","NATURAL RESOURCES","D","SPECIAL STATE FUNDS","0041","0041","0",NA,"1","WILDLIFE & FISH","D","Special State Funds","1","1","CONCESSION REVENUE","36",".",NA,0,NA,0,"36"
"3826",2021,"0962","422","2685",NA,NA,"CONCESSION REVENUE",2830.11,NA,"PARK & CONSERVATION","NATURAL RESOURCES","D","SPECIAL STATE FUNDS","0962","0962","0",NA,"1","PARK & CONSERVATION","D","Special State Funds","1","1","CONCESSION REVENUE","36",".",NA,0,NA,0,"36"
"3827",2022,"0040","422","2685",NA,"9999","CONCESSION REVENUE",2395.94,"rev_ioc_22.08.01","STATE PARKS","NATURAL RESOURCES",NA,NA,"0040","0040","0",NA,"1","STATE PARKS","D","Special State Funds","1","1","CONCESSION REVENUE","36",".",NA,0,NA,0,"36"
"3828",2022,"0041","422","2685",NA,"9999","CONCESSION REVENUE",1374,"rev_ioc_22.08.01","WILDLIFE & FISH","NATURAL RESOURCES",NA,NA,"0041","0041","0",NA,"1","WILDLIFE & FISH","D","Special State Funds","1","1","CONCESSION REVENUE","36",".",NA,0,NA,0,"36"
"3829",2022,"0538","422","2685",NA,"9999","CONCESSION REVENUE",6941.9,"rev_ioc_22.08.01","IL HISTORIC SITES","NATURAL RESOURCES",NA,NA,"0538","0538","0",NA,"1","IL HISTORIC SITES","D","Special State Funds","1","1","CONCESSION REVENUE","36",".",NA,0,NA,0,"36"
"3830",2022,"0962","422","2685",NA,"9999","CONCESSION REVENUE",49506.13,"rev_ioc_22.08.01","PARK & CONSERVATION","NATURAL RESOURCES",NA,NA,"0962","0962","0",NA,"1","PARK & CONSERVATION","D","Special State Funds","1","1","CONCESSION REVENUE","36",".",NA,0,NA,0,"36"
"3831",2021,"0944","532","2686",NA,NA,"INITIAL CCR SURF IMPND FEE",325000,NA,"ENVIRO PROTECT PERMIT & INSP","ENVIRONMENTAL PROTECT AGENCY","D","SPECIAL STATE FUNDS","0944","0944","0",NA,"1","ENVIRO PROTECT PERMIT & INSP","D","Special State Funds","1","1","INITIAL CCR SURF IMPND FEE","36",".",NA,0,NA,0,"36"
"3832",2022,"0944","532","2686",NA,"9999","INITIAL CCR SURF IMPND FEE",6e+05,"rev_ioc_22.08.01","ENVIRO PROTECT PERMIT & INSP","ENVIRONMENTAL PROTECT AGENCY",NA,NA,"0944","0944","0",NA,"1","ENVIRO PROTECT PERMIT & INSP","D","Special State Funds","1","1","INITIAL CCR SURF IMPND FEE","36",".",NA,0,NA,0,"36"
"3833",2021,"0944","532","2687",NA,NA,"ANNUAL CCR SURF IMPND FEE",1145000,NA,"ENVIRO PROTECT PERMIT & INSP","ENVIRONMENTAL PROTECT AGENCY","D","SPECIAL STATE FUNDS","0944","0944","0",NA,"1","ENVIRO PROTECT PERMIT & INSP","D","Special State Funds","1","1","ANNUAL CCR SURF IMPND FEE","36",".",NA,0,NA,0,"36"
"3834",2022,"0944","532","2687",NA,"9999","ANNUAL CCR SURF IMPND FEE",1310000,"rev_ioc_22.08.01","ENVIRO PROTECT PERMIT & INSP","ENVIRONMENTAL PROTECT AGENCY",NA,NA,"0944","0944","0",NA,"1","ENVIRO PROTECT PERMIT & INSP","D","Special State Funds","1","1","ANNUAL CCR SURF IMPND FEE","36",".",NA,0,NA,0,"36"
"3835",2021,"0889","458","2688",NA,NA,"HOMELESSNESS SCRATCH-OFF",1060469,NA,"HOMELESSNESS PREVENTION REVENU","STATE LOTTERY","D","SPECIAL STATE FUNDS","0889","0889","0",NA,"1","HOMELESSNESS PREVENTION REVENU","D","Special State Funds","1","1","HOMELESSNESS SCRATCH-OFF","33",".",NA,0,NA,0,"33"
"3836",2022,"0889","458","2688",NA,"9999","HOMELESSNESS SCRATCH-OFF",1142290,"rev_ioc_22.08.01","HOMELESSNESS PREVENTION REVENU","STATE LOTTERY",NA,NA,"0889","0889","0",NA,"1","HOMELESSNESS PREVENTION REVENU","D","Special State Funds","1","1","HOMELESSNESS SCRATCH-OFF","33",".",NA,0,NA,0,"33"
"3837",2021,"0919","492","2690",NA,NA,"LOCAL CANNABIS EXCISE TAX",46648386.68,NA,"LOCAL CANNABIS CONSUMER TAX TR","REVENUE","I","STATE TRUST FUNDS","0919","0919","0",NA,"1","LOCAL CANNABIS CONSUMER TAX TR","D","Special State Funds","1","1","LOCAL CANNABIS EXCISE TAX","06",".",NA,0,NA,0,"06"
"3838",2022,"0919","492","2690",NA,"9999","LOCAL CANNABIS EXCISE TAX",72428195.98,"rev_ioc_22.08.01","LOCAL CANNABIS CONSUMER TAX TR","REVENUE",NA,NA,"0919","0919","0",NA,"1","LOCAL CANNABIS CONSUMER TAX TR","D","Special State Funds","1","1","LOCAL CANNABIS EXCISE TAX","06",".",NA,0,NA,0,"06"
"3839",2021,"0694","492","2691",NA,NA,"PARKING EXCISE TAX",20793344.74,NA,"CAPITAL PROJECTS","REVENUE","F","DEBT SERVICE FUNDS","0694","0694","0",NA,"1","CAPITAL PROJECTS","F","Debt Service Funds","1","1","PARKING EXCISE TAX","35",".",NA,0,NA,0,"35"
"3840",2022,"0694","492","2691",NA,"9999","PARKING EXCISE TAX",35127614.72,"rev_ioc_22.08.01","CAPITAL PROJECTS","REVENUE",NA,NA,"0694","0694","0",NA,"1","CAPITAL PROJECTS","F","Debt Service Funds","1","1","PARKING EXCISE TAX","35",".",NA,0,NA,0,"35"
"3841",2021,"0939","492","2692",NA,NA,"LOCALLY-IMPOSED SALES TAX",2685963.43,NA,"LOCAL GOVT AVIATION TRUST","REVENUE","I","STATE TRUST FUNDS","0939-B","0939","2",NA,"1","LOCAL GOVT AVIATION TRUST","D","Special State Funds","1","1","LOCALLY-IMPOSED SALES TAX","06",".",NA,0,NA,0,"06"
"3842",2022,"0939","492","2692",NA,"9999","LOCALLY-IMPOSED SALES TAX",7552007.04,"rev_ioc_22.08.01","LOCAL GOVT AVIATION TRUST","REVENUE",NA,NA,"0939-B","0939","2",NA,"1","LOCAL GOVT AVIATION TRUST","D","Special State Funds","1","1","LOCALLY-IMPOSED SALES TAX","06",".",NA,0,NA,0,"06"
"3843",2021,"0968","565","2695",NA,NA,"SW MASTER SPORTS WAGERING LIC",58161134.8,NA,"SPORTS WAGERING","ILLINOIS GAMING BOARD","D","SPECIAL STATE FUNDS","0968-B","0968","2",NA,"1","SPORTS WAGERING","I","State Trust Funds","1","1","SW MASTER SPORTS WAGERING LIC","39",".",NA,0,NA,0,"39"
"3844",2022,"0968","565","2695",NA,"9999","SW MASTER SPORTS WAGERING LIC",11150433.15,"rev_ioc_22.08.01","SPORTS WAGERING","ILLINOIS GAMING BOARD",NA,NA,"0968-B","0968","2",NA,"1","SPORTS WAGERING","I","State Trust Funds","1","1","SW MASTER SPORTS WAGERING LIC","39",".",NA,0,NA,0,"39"
"3845",2021,"0968","565","2696",NA,NA,"SW SUPPLIER APPLICATION FEE",1350000,NA,"SPORTS WAGERING","ILLINOIS GAMING BOARD","D","SPECIAL STATE FUNDS","0968-B","0968","2",NA,"1","SPORTS WAGERING","I","State Trust Funds","1","1","SW SUPPLIER APPLICATION FEE","39",".",NA,0,NA,0,"39"
"3846",2022,"0968","565","2696",NA,"9999","SW SUPPLIER APPLICATION FEE",6e+05,"rev_ioc_22.08.01","SPORTS WAGERING","ILLINOIS GAMING BOARD",NA,NA,"0968-B","0968","2",NA,"1","SPORTS WAGERING","I","State Trust Funds","1","1","SW SUPPLIER APPLICATION FEE","39",".",NA,0,NA,0,"39"
"3847",2021,"0968","565","2698",NA,NA,"SW MGMT SRVCS PROVIDER APP FEE",2015000,NA,"SPORTS WAGERING","ILLINOIS GAMING BOARD","D","SPECIAL STATE FUNDS","0968-B","0968","2",NA,"1","SPORTS WAGERING","I","State Trust Funds","1","1","SW MGMT SRVCS PROVIDER APP FEE","39",".",NA,0,NA,0,"39"
"3848",2022,"0968","565","2698",NA,"9999","SW MGMT SRVCS PROVIDER APP FEE",2e+06,"rev_ioc_22.08.01","SPORTS WAGERING","ILLINOIS GAMING BOARD",NA,NA,"0968-B","0968","2",NA,"1","SPORTS WAGERING","I","State Trust Funds","1","1","SW MGMT SRVCS PROVIDER APP FEE","39",".",NA,0,NA,0,"39"
"3849",2022,"0972","565","2699",NA,"9999","RB RECONCILIATION FEE",1.5e+07,"rev_ioc_22.08.01","REBUILD ILLINOIS PROJECTS","ILLINOIS GAMING BOARD",NA,NA,"0972-B","0972","1",NA,"1","REBUILD ILLINOIS PROJECTS","D","Special State Funds","1","1","RB RECONCILIATION FEE","39",".",NA,0,NA,0,"39"
"3850",2022,"0118","482","2701",NA,"9999","MOBILE HOME FINES & PENALTIES",20300,"rev_ioc_22.08.01","FACILITY LICENSING","PUBLIC HEALTH",NA,NA,"0118","0118","0",NA,"1","FACILITY LICENSING","D","Special State Funds","1","1","MOBILE HOME FINES & PENALTIES","78",".",NA,0,NA,0,"78"
"3851",2021,"0968","565","2706",NA,NA,"SPORTS WAGERING TAX",51050231.49,NA,"SPORTS WAGERING","ILLINOIS GAMING BOARD","D","SPECIAL STATE FUNDS","0968-B","0968","2",NA,"1","SPORTS WAGERING","I","State Trust Funds","1","1","SPORTS WAGERING TAX","35",".",NA,0,NA,0,"35"
"3852",2022,"0968","565","2706",NA,"9999","SPORTS WAGERING TAX",96960960,"rev_ioc_22.08.01","SPORTS WAGERING","ILLINOIS GAMING BOARD",NA,NA,"0968-B","0968","2",NA,"1","SPORTS WAGERING","I","State Trust Funds","1","1","SPORTS WAGERING TAX","35",".",NA,0,NA,0,"35"
"3853",2021,"0610","350","2707",NA,NA,"PEDIATRIC CANCER LICENSE PLATE",10,NA,"PEDIATRIC CANCER AWARENESS","SECRETARY OF STATE","D","SPECIAL STATE FUNDS","0610-B","0610","2",NA,"1","PEDIATRIC CANCER AWARENESS","D","Special State Funds","1","1","PEDIATRIC CANCER LICENSE PLATE","42",".",NA,0,NA,0,"42"
"3854",2021,"0967","492","2708",NA,NA,"MUNICIPAL MOTOR FUEL TAX",3854397.96,NA,"MUNICIPAL MOTOR FUEL TAX","REVENUE","I","STATE TRUST FUNDS","0967-B","0967","2",NA,"1","MUNICIPAL MOTOR FUEL TAX","I","State Trust Funds","1","1","MUNICIPAL MOTOR FUEL TAX","09",".",NA,0,NA,0,"09"
"3855",2022,"0967","492","2708",NA,"9999","MUNICIPAL MOTOR FUEL TAX",4838884.63,"rev_ioc_22.08.01","MUNICIPAL MOTOR FUEL TAX","REVENUE",NA,NA,"0967-B","0967","2",NA,"1","MUNICIPAL MOTOR FUEL TAX","I","State Trust Funds","1","1","MUNICIPAL MOTOR FUEL TAX","09",".",NA,0,NA,0,"09"
"3856",2021,"0011","350","2709",NA,NA,"2ND QUARTER TRAILER",1193694,NA,"ROAD","SECRETARY OF STATE","B","HIGHWAY FUNDS","0011","0011","0",NA,"1","ROAD","B","Highway Funds","1","1","2ND QUARTER TRAILER","42",".",NA,0,NA,0,"42"
"3857",2022,"0011","350","2709",NA,"9999","2ND QUARTER TRAILER",1208494,"rev_ioc_22.08.01","ROAD","SECRETARY OF STATE",NA,NA,"0011","0011","0",NA,"1","ROAD","B","Highway Funds","1","1","2ND QUARTER TRAILER","42",".",NA,0,NA,0,"42"
"3858",2021,"0011","350","2710",NA,NA,"4TH QUARTER TRAILER",26232,NA,"ROAD","SECRETARY OF STATE","B","HIGHWAY FUNDS","0011","0011","0",NA,"1","ROAD","B","Highway Funds","1","1","4TH QUARTER TRAILER","42",".",NA,0,NA,0,"42"
"3859",2022,"0011","350","2710",NA,"9999","4TH QUARTER TRAILER",30048,"rev_ioc_22.08.01","ROAD","SECRETARY OF STATE",NA,NA,"0011","0011","0",NA,"1","ROAD","B","Highway Funds","1","1","4TH QUARTER TRAILER","42",".",NA,0,NA,0,"42"
"3860",2021,"0020","458","2711",NA,NA,"ALZHEIMER'S AWARENESS GAME",916588,NA,"ALZHEIMER'S AWARENESS","STATE LOTTERY","D","SPECIAL STATE FUNDS","0020","0020","0",NA,"1","ALZHEIMER'S AWARENESS","D","Special State Funds","1","1","ALZHEIMER'S AWARENESS GAME","33",".",NA,0,NA,0,"33"
"3861",2022,"0020","458","2711",NA,"9999","ALZHEIMER'S AWARENESS GAME",1204381,"rev_ioc_22.08.01","ALZHEIMER'S AWARENESS","STATE LOTTERY",NA,NA,"0020","0020","0",NA,"1","ALZHEIMER'S AWARENESS","D","Special State Funds","1","1","ALZHEIMER'S AWARENESS GAME","33",".",NA,0,NA,0,"33"
"3862",2021,"0987","458","2712",NA,NA,"STEAM SCRATCH-OFF GAME",1105392,NA,"SCHOOL STEAM GRANT PROGRAM","STATE LOTTERY","D","SPECIAL STATE FUNDS","0987","0987","0",NA,"1","SCHOOL STEAM GRANT PROGRAM","D","Special State Funds","1","1","STEAM SCRATCH-OFF GAME","33",".",NA,0,NA,0,"33"
"3863",2022,"0987","458","2712",NA,"9999","STEAM SCRATCH-OFF GAME",669,"rev_ioc_22.08.01","SCHOOL STEAM GRANT PROGRAM","STATE LOTTERY",NA,NA,"0987","0987","0",NA,"1","SCHOOL STEAM GRANT PROGRAM","D","Special State Funds","1","1","STEAM SCRATCH-OFF GAME","33",".",NA,0,NA,0,"33"
